username,age,gender,text,thread_replies,avatar_url
moodledoo.bsky.social,45,Man,"got a therapist today, going to a psychiatrist for adhd meds, got lab work done to see if that’s contributing to depression, and got diagnosed with depression and anxiety today. I missed a lot of work but these things deserve my time too",,https://cdn.bsky.app/img/avatar/plain/did:plc:s3caxf2vlnp5zpezmzcuvy6j/bafkreietd6o23baetaa4cy6mle3scil7n4ioq53lpsubwpcdczddzpyh5y@jpeg
matt72423.bsky.social,54,Man,"Himal, thank you so much for posting this about your experience of ADHD. I'm 67 and about to go through an ADHD assessment. I've struggled all my adult life with the symptoms you describe. In my 30s I was diagnosed with depression, but no meds or CBT seemed to work other than briefly. (1/2)","Recently diagnosed too (at 51). Explains so much of the anxiety and depression but also fascinating and confusing. 
Enjoy the ride. | My daughter was doing her psychology masters, talked about ADHD and urged me to seek a referral. I guess it could be that I have depression combined with ADHD, or that I was misdiagnosed. I'll soon find out.  (2/2)",https://cdn.bsky.app/img/avatar/plain/did:plc:7rgdw77ofiskgntt4huyspna/bafkreiahb2dkr3xyq2ybf2yjm4sin4axn6abtneithlxzypekmtxne6hzi@jpeg
jonstackpool.bsky.social,48,Man,"I didn't mean that, no.

Fully aware that there is a spectrum; wasn't aware of a hierarchy. I must be way down the list, with my diagnosed anxiety and depression...🤷🏼‍♂️",,https://cdn.bsky.app/img/avatar/plain/did:plc:k4kdmr4vk7fk6x6wtnp3x6cn/bafkreifubnqfm5b4pb6iz6ycphdetkzcdqqza7zfwxdr7icduo45yzgcwu@jpeg
redsixporkins.bsky.social,50,Man,I understand that. My therapist says I'm an Empath and I've been diagnosed with Bipolar I Disorder and extreme depression and anxiety. I am sorry that you suffer with feeling so much emotion. I hope you are able to get through it one day.,"(one of my bipolar-driven crackpot theories)

When I am manic, I am hypersensitive to vibrations. Example , I can stroke 2"" away my husband's arm, raise the hairs on his arm and feel the increase in his love (lust?) for me.

I believe manics can easily sense emotions (and ESP and ghosts)",https://cdn.bsky.app/img/avatar/plain/did:plc:enizfadfu2g24cs5flilj7zl/bafkreiaerkb76zorjufsbhh2xldfxnwwahrcatk2ui2bqnujwjsm54vcaa@jpeg
liampboyle.bsky.social,48,Man,"I've been diagnosed with depression for over 30 years. It's an old ""friend"" at this point. Also, that's why a lot of my characters struggle with it. DMs are open as well, if you need. Although I'm in bed pretty early most nights.","It's a fairly new diagnosis, but I honestly don't remember a time when I didn't feel like this.

Yeah, my characters tend to have some variation of depression or anxiety. Agoraphobia is another thing familiar to both me and my characters. I have many diagnoses, lol.",https://cdn.bsky.app/img/avatar/plain/did:plc:n3skfy5g4ckmku3k4p2xd2vk/bafkreibreom2p7wd3ol36lbv4ms3xewgacnf2ueq4k2g7zjfx6bcu6ma2a@jpeg
kxt.pet,46,Man,just got diagnosed with manic depression XD,getting put on lithium if thyroid lab looks ok | hot girl disorder,https://cdn.bsky.app/img/avatar/plain/did:plc:tskckvi462udxajdc4kpvqyk/bafkreigxdfdorvlhgq775fal6ybtfi6egemycch5cvckvhrnp2b4utd4rm@jpeg
blaze.on.computer,52,Man,"Diagnosed w/ ASD Level 1, this was really interesting to see XD I'm not at all shocked by the complete lack of aggression, though, I'm just Not like that",,https://cdn.bsky.app/img/avatar/plain/did:plc:t4zbkxfermcrgoylqjmbiupe/bafkreifbhopzhlqec6asaqiot42dnnlzhdrfc4gs4c5purtc3perc4ds4u@jpeg
pnutsmama.bsky.social,46,Woman,"years ago my dr finally diagnosed me with situational depression, with neverending depressive situations, so…",,https://cdn.bsky.app/img/avatar/plain/did:plc:cohsnro2uub7ol542ee2qaig/bafkreic53gydlwfzqvniwozoihwqk3itbipjqhjglgdm7bivxdhfosh64q@jpeg
adawongslover.bsky.social,47,Woman,First quarter of college and as a reward i got diagnosed with mild depression and high spectrum of moderate anxiety 😭,,https://cdn.bsky.app/img/avatar/plain/did:plc:mkgubt3ahc5sjqcqzv3hvzft/bafkreibvukmy3fk2lu2xj2cfcfbqirhxffddj3nqyfvbzbjyu4dk4bvioq@jpeg
djgarybaldy.bsky.social,47,Man,"Ive been sad and lonely for 5 years nearly I just dont seem to be able to shake off the depression and grief

I lost muy happiness when Iain got diagnosed with cancer 5 years ago.",,https://cdn.bsky.app/img/avatar/plain/did:plc:hfhdcagvgvcyhd6miv6vippw/bafkreibhcv654d53ihibuuro56qry3ko2etb26ws44kvmwbf2ptfeqt2qy@jpeg
pqfuller.bsky.social,48,Man,Spotify Wrapped diagnosed me with depression again.,,https://cdn.bsky.app/img/avatar/plain/did:plc:nldyf3xoi5ib5lamhfiqkjry/bafkreifrwpscnvki7qj2vpzjqd46cblu2zek4qm5nbmtayafare3bowas4@jpeg
davidofthebeach.bsky.social,45,Woman,This is why I probably won’t seek an assessment unless it would mean I would quality for some kind of aid. I’ve been dealing with anxiety and depression my whole life and it’s probably undiagnosed autism but it doesn’t look like a diagnosis would be worth it.,,https://cdn.bsky.app/img/avatar/plain/did:plc:h5naerii5ifdijx4nqnobw7s/bafkreifnjy72yrgxqwrmm6v27qtrkoveg5yuntouknqlpsvjkfuckbfnge@jpeg
doxiemom2.bsky.social,47,Woman,"I recently started on the generic version of the SSRI Paxil. I have had untreated major depressive disorder, ptsd, and suicide ideation for a decade. I’ve had depression on different levels since I was a kid. I was always resistant to medications. Everything made me feel worse.","Now that I’m post menopausal, my brain is complete mush. I did my own research this time and decided this medication might work for me as it’s also approved for that. It also works on my Raynaud’s that can be debilitating. I’m tolerating the med well and am feeling optimistic.",https://cdn.bsky.app/img/avatar/plain/did:plc:wutxm3x6wepi4dx3xilokw4p/bafkreicfpp2nwrqllh76lnajku245lwpnfa7amfdjyr6d3gror6rwk3ebu@jpeg
thereelrandom.bsky.social,49,Man,"GM Bluesky!
#TMS session today. For those who don’t know my story, I’ll post it down thread.
TMS = Transcranial Magnetic Stimulation and it’s the treatment that keeps my Med resistant  major depressive disorder under control. 
In fact, my MDD is in full remission that’s to this treatment.","Wow - that’s great! | Good morning and Happy Valentines Day, RWG! | I can't imagine what you have suffered before finding this. So happy for you! | So, first my story… part 1

open.substack.com/pub/randomw/... | Science schmience! You look like Dumont from Tron and that's fuckin rad. | So glad you found what works! | The wonders of modern medical technology that keeps good folks like you with us. Yet if RFKJr gets his way you’d be shipped off to a farm because work makes free, apparently.

Hey, that sounds like a great slogan for them. They should use it. | Good morning RWG. Glad to see you found something that works for you. Peace out my friend.",https://cdn.bsky.app/img/avatar/plain/did:plc:qemcl6cgej3efqxs4x5jiebp/bafkreieymfcppniq2dgenuxv2gby3dxb43q27bvg7urzs3uifrvkm7qfb4@jpeg
jbuchana.bsky.social,46,Man,NMDA Receptor Antagonists for Major Depressive Disorder #mentalhealth #mentalillness #depression #ketamine www.everydayhealth.com/depression/c...,,https://cdn.bsky.app/img/avatar/plain/did:plc:6mtcxartq35e6zt3xccykfpd/bafkreico6aeldy3im2ijpavfpwyh7rnc7h3mxctcpxp2v2tzyte4wkvs3q@jpeg
halrager.bsky.social,61,Man,"An international team of researchers identified 109 genes that were associated in different combinations with eight different psychiatric disorders, including autism, ADHD, schizophrenia, bipolar disorder, major depressive disorder, Tourette syndrome, obsessive-compulsive disorder, and anorexia.",,https://cdn.bsky.app/img/avatar/plain/did:plc:ey3fzrqv53i7nfiqvf4adpf2/bafkreigjglyqh3o6za2mcm27afoikbaopi4pce5omwksmcwgtvwzdacnbm@jpeg
orleancooper.bsky.social,50,Man,"In the game of life, there are wins and losses but rarely do you end up with something comparable to the Kansas City Chiefs winning three big games in a row. The clinical name for that is ""major depressive disorder.""",,https://cdn.bsky.app/img/avatar/plain/did:plc:ogvqhoood3hggtdoylbm5cb3/bafkreieyky62rwl32koyugni4upwsffwegra5tkaxuk6jyec2q2bytoej4@jpeg
gmskarka.bsky.social,46,Man,"Mental health advice (from a guy medicated for Major Depressive Disorder and Anxiety):

Control what you can control. Call your elected officials, donate to community orgs, etc. — and try to let the stuff outside of your control go. Obsessing is bad for you. 

Take care of yourself.",,https://cdn.bsky.app/img/avatar/plain/did:plc:uwfo2v6bzhsigf7cbekv426n/bafkreibaf24u2w5n3iufbld33m7j6habewzw4sr5ri57ikiovqxjqiigxy@jpeg
audra2025.bsky.social,45,Man,I listen to that through my Calm app. I suffer from major depressive disorder so I understand.,It's so calming!,https://cdn.bsky.app/img/avatar/plain/did:plc:wi6u73qn7u2nl5vtblmc7fo7/bafkreiaa5rmva7xqbylt2ldauqjm7enlpned7ovnkukrjoqi4m65hpjpdu@jpeg
adigoesswimming.bsky.social,49,Woman,"As someone with medication-resistant major depressive disorder, YUP. Things are terrible, true. Things are scary and people are going to suffer more and most of us have less power to change that than we wish we did. But that is not *all* there is unless depression is blocking everything else out.",,https://cdn.bsky.app/img/avatar/plain/did:plc:im5bxizytvhseqc52acaupec/bafkreicezumjz2d5szhrhor2dxzcuesemo2e4wd2giesqtdxakdnbpbihu@jpeg
stevijoe.bsky.social,47,Woman,"I thought I was in a low-level, long period depression that was not serious but was draining my energy and discouraging me from doing things. An ad for Trintellix mentioned ""major depressive disorder (MDD), so I looked it up.","MDD is brutal. I'm glad that you are finding your way 💜 | I hope you feel better soon. You’ve been through an awful lot. 💖⭐️🌸💛 | My only resolution this year was to make things easier for me - just little things to make daily life less stressful. Storage bins, storage hooks, etc. | You have home through so much . I hope you’re feeling better | Though I didn't feel in danger, I certainly manifested many symptoms. I'm over it because I have returned to my regimen of low carbohydrates and exercise. I walk three to five miles at a good pace. That's what I mean by exercise.",https://cdn.bsky.app/img/avatar/plain/did:plc:54eeeqajvmbc4y5myqexj3rc/bafkreigukav2ektseikjpojeiovpw7pjsmhgludiyufplv5wpzdwfrtdnm@jpeg
lifeisok4me.bsky.social,49,Man,As someone who deals w/ chronic pain that then leads to secondary Major Depressive Disorder (MDD) when I separately asked both of my Drs @ the VA who would be involved w/ this treatment they provided the same info but in diff ways; “Only the worst cases of pain+MDD use this and it’s very rare.”,It is prescribed for treatment resistant depression. It can be very effective.,https://cdn.bsky.app/img/avatar/plain/did:plc:bby5c2qtokfjt6ljmmkiwikz/bafkreicifi7qec2ibuxj5d7sk45qfyho44bber7avxkrlzwvfe6ow3zrqe@jpeg
wrestleism.com,49,Man,"I really need people to understand that I've been dealing with major depressive disorder for roughly 11 years straight with no real break and when I say ""I'm tired,"" I don't mean that I need a little nap.",,https://cdn.bsky.app/img/avatar/plain/did:plc:sfutns5m2p7g73h2vagq7sxf/bafkreibjrbf7fwyqlf7q7ndgkbbysdgjlrwnzn5rntaqfhkg6o2jq6nynu@jpeg
grahamgreene.bsky.social,61,Man,I'm a 63 year old who has lived with Generalised Anxiety Disorder and Major Depressive Disorder for the last 20 years or so. I teach music to kids with learning disabilities. Pleased to meet you. 🙂,Any chance you live in CT or UT?,https://cdn.bsky.app/img/avatar/plain/did:plc:fmu2y3yinuq4dpg5yj645b2g/bafkreiaifbrtt4z4lkw27uprmxrtu2jo3v7l7bhjfaljmqiw6ymjcglntq@jpeg
toonrandy.bsky.social,47,Man,"While I was diagnosed with major depressive disorder several years ago, having prediabetes could've also made me tired for days at a time and made me going through heavy fatigue even when I'm not depressed. My past doctor visits never detected it until now.",,https://cdn.bsky.app/img/avatar/plain/did:plc:eyrukgxbny6t4lf5woj5x2sr/bafkreicb4xixgjkfyz4vyuirby4dpx4prwqdqcp4zhszdexgsi7dcfae6i@jpeg
grampafitness.bsky.social,56,Man,"Adding to the “post a pic of yourself to combat the stigma around mental illness/difference” thread.

Clinical depression, anxiety, PTSD, recently-diagnosed but lifelong ADHD (distractible type) and almost certainly on the autism spectrum.

I function pretty well and it’s a LOT OF WORK.",🫂,https://cdn.bsky.app/img/avatar/plain/did:plc:opmyib7553dvyxy6sgbzslx7/bafkreibqsa4az3jdnn4ooybgq5qgbjc5e266cl243dpgo3sb44fyzk6uzq@jpeg
redhotty66.bsky.social,51,Woman,Hi I’m new here my name is Tracey and I have suffered all my life with manic depression bipolar n bpd I wasn’t diagnosed until I was 36 the courts finally got me the help I needed after I shot my husband took me 10 years to get disability trump better not take it away it’s all I have #disability,"Yeah, that bloated sack of shit is probably coming for every variety of social program bc historically cutting social programs alwayys helps the populace, right? Fuck, I hate those sacks of shits. Invest in people. There are more than enough of use to take care of one another than trampling as we do",https://cdn.bsky.app/img/avatar/plain/did:plc:evd57bgzqougwvx6fhzqjdti/bafkreidkapfp3xypvf6kztofia4pxk2gaifku3megtlqmbqo2geiizlk5e@jpeg
andrew-f-smith.bsky.social,45,Man,"I had a mental crisis in lockdown and was taken into the care of the #NHS. I was first diagnosed with borderline personality disorder, but they soon realised that wasn’t right. I had long-term anxiety and depression and my team surmised that neurodivergence was at the root. I then got my diagnosis.",I’m sorry to hear you’ve had such a difficult time.,https://cdn.bsky.app/img/avatar/plain/did:plc:xllhlzvphearcn4twlkrhlot/bafkreif7ehkevahjcjtzodugat3m7ftyktmxcdnvzdeik4xysp4qnrtqg4@jpeg
javysmama.bsky.social,48,Man,"Mental health is important. In 2021, I was 295 pounds. The most I ever weighed. Today I weigh 252 pounds. I owe it all to finally seeking help with my depression and anxiety and getting a surprise ADHD diagnosis. But suddenly my whole life made sense.",,https://cdn.bsky.app/img/avatar/plain/did:plc:zcdtk5xajuzssrriu62rgxr7/bafkreiaibu5but6bnsc6w4wkefirm3kcjfn5vsiglp3cnlvnboquemvcgu@jpeg
pauljosephserna.com,51,Man,"It wasn’t until my junior year of college that I was first officially diagnosed with silent depression. At that time, I joked with family and friends about it, secretly hiding the real truth out of my own personal shame for even admitting to myself of having mental health issues.",,https://cdn.bsky.app/img/avatar/plain/did:plc:2lnkyriksifoemc7cihcuiyn/bafkreibd4qp5ulfrehvdn3a6bck27stomazwauee2v23rapakgcnnumhie@jpeg
artgeek.biz,50,Man,"Oh my. I was diagnosed with depression ages ago and OCD in my 30s, maybe 40s. (I was 32 when we married.) Our younger daughter was diagnosed around age 5 or 6 and the older one just recently.","Our granddaughter, she’s 5, hasn’t been diagnosed yet, but it’s just a matter of toi-même. I can tell you she is definitely on the spectrum, but then her mother and both of her grandmothers are🙃",https://cdn.bsky.app/img/avatar/plain/did:plc:hgfiqssi3p63haciuetvwcgq/bafkreihgfvs3kn4csrrt4z3xmnkwap65fsdeigsc6tw72kcu2kzcd2qhxm@jpeg
traceyh.bsky.social,53,Woman,I was diagnosed as having a mental health disorder at 12 years old. I deal with persistent anxiety and crippling depression that comes in waves. Let me tell you- now is not a great time to be mentally ill 😩. I wish I still used drugs so I could escape a bit (half kidding),,https://cdn.bsky.app/img/avatar/plain/did:plc:tssyoy2brm2lpzmq3immbbz4/bafkreiejxnjrv77xmed2c7kqmhtp7uv3xtxsnujme7cgopladhoc5nyec4@jpeg
